,0
0,151.5041356187636
1,203.13536963890664
2,330.0349801321343
3,342.6880077885394
4,401.66936721263795
5,497.89408767877575
6,528.0391839604097
7,590.0967287552255
8,525.5501948300031
9,572.6155894722184
10,112.26090655987588
11,208.9620649451796
12,123.24832318321384
13,130.46096229999353
14,212.80804358951445
15,339.48479856495265
16,186.72512252984163
17,262.86773006910744
18,414.24429342692184
19,390.4327320001495
20,372.78434593035246
21,313.9214372018734
22,185.71592470686994
23,325.8835730485662
24,447.79520982781156
25,488.4852843969631
26,515.4178156974394
27,617.150587224596
28,655.6206371191328
29,690.9250658577121
30,711.692807904944
31,775.4450190068187
32,709.930724758804
33,824.4415938135286
34,850.80971575821
35,893.6929634848157
36,27.360082063696087
37,28.584996853702677
38,26.52948059374171
39,24.828762987865186
40,20.908563833285424
41,19.079567636952188
42,15.46147313313263
43,15.33898363522841
44,16.616688297415976
45,16.691951783807742
46,15.726113981333581
47,13.032110665899525
48,12.711990361451761
49,12.99265518858123
50,14.368810591773094
51,4.295203866406078
52,4.54800901924005
53,4.376136057238715
54,4.264855159209272
55,4.217856450893623
56,3.6204773323995347
57,1.1224889739870445
58,1.1130587425462157
59,0.7253383859452565
60,0.6976830757358239
61,0.6834531213082823
62,0.6580459926523067
63,0.655470894921676
64,0.7417610369407499
65,0.8515914208723109
66,0.8403479503248693
67,0.6991174933564603
68,0.5343084259521638
69,0.518445412617455
70,0.5122080323630274
71,0.48922252986930986
72,0.49196144418269205
73,0.48405363507200005
74,0.47356572597781926
75,0.5199037293958864
76,0.5747011106264476
77,0.6197278112709008
78,0.9430286335394334
79,1.5695063431271807
80,13.155182268292354
81,20.884471689831475
82,22.957855588271332
83,24.812371742461327
84,26.84355708957606
85,29.137700897953003
86,36.796375648037134
87,75.25736475955472
88,108.58733761691106
89,168.82431369486704
90,175.89728278343088
91,212.5649890974178
92,366.6009931013765
93,343.77106277999746
94,363.0238215115164
95,440.8317282605446
96,559.8962471757399
97,594.3257517158494
98,685.3777171428663
99,668.7252958475508
100,755.0322371865232
101,776.011049060849
102,938.3540585323385
103,1231.3960559812376
104,1371.4543029325857
105,1407.6529460340514
106,1432.8064368872585
107,1325.866678813355
108,1215.9975900153004
109,1278.3075713248238
110,1332.922727432674
111,1446.8730632559273
112,1431.7953575806523
113,1538.4692891881907
114,1506.521019483705
115,1377.012033998387
116,1431.2817419085954
117,1433.4118249952342
118,1440.89980104621
119,1470.0498282731796
120,1431.7983141678735
121,1369.7887230666015
122,1302.3177370492047
123,1249.6037732179118
124,1203.9456426260072
125,1153.8033514169986
126,1367.2498353194796
127,1336.5628915465109
128,1383.557974104206
129,1327.9065765711302
130,1322.0377432389153
131,1393.2513382023915
132,1354.960442316255
133,1412.9733854444464
134,1457.91629158154
135,1442.4763981780864
