,0
0,450.7738771473374
1,458.9240548200324
2,466.4633258756859
3,475.0501404423771
4,482.97711844705606
5,482.8292699183755
6,499.0463940850006
7,507.1051003597037
8,514.9938990754447
9,522.6428009951044
10,530.4860348565506
11,538.3803367329665
12,546.1376352229846
13,553.5470680837351
14,561.2187756587165
15,568.8667924109352
16,576.483205071988
17,585.7412750434071
18,583.3651029601972
19,605.8215511138405
20,605.5696600297723
21,606.7081514680511
22,625.2053323449624
23,629.2660968071451
24,631.6114957852677
25,644.469624348904
26,651.7457926452379
27,658.9447060964777
28,665.6966087436274
29,664.0088213399393
30,680.8563494850621
31,687.7715888565533
32,694.9686419870052
33,701.8959811575381
34,708.7463038640061
35,715.2261249926917
36,722.6595023155676
37,729.0361550588362
38,735.6613045143692
39,742.3823976603181
40,749.7757420855008
41,755.494197460795
42,762.0604868393428
43,768.6746523928798
44,774.8737169543109
45,781.4631362459754
46,788.0287771254455
47,789.3598890318713
48,790.3780751424057
49,803.5282059434174
50,808.8581534811804
51,814.5504060376252
52,822.8623961649233
53,826.7022035888464
54,833.9044118847189
55,836.9070957762422
56,842.3053653442374
57,847.7785925365266
58,853.3294517830755
59,858.1687738046427
60,863.2805458409591
61,868.5147672267834
62,873.5888716628663
63,878.6414925512773
64,883.5848459867472
65,888.5402076720125
66,893.4075781985421
67,898.6541227528512
68,903.1426772110835
69,907.881638572796
70,912.6889527604795
71,917.3765128204124
72,922.0025890165904
73,926.1407699825413
74,924.3786011938311
75,934.9438613984047
76,939.6728559209436
77,944.1215344664191
78,948.9860272660302
79,953.0768650566328
80,957.6527649440035
81,963.0861215635208
82,962.6941455734142
83,972.2960524064598
84,976.2680586319608
85,980.6150730800435
86,985.0174963540933
87,989.476957618091
88,993.807214186772
89,998.1852543663335
90,1002.4655233580103
91,1006.7258885240719
92,1011.1345595167636
93,1015.2408973825768
94,1020.0471048151278
95,1023.8711109255297
96,1028.5978311247754
97,1033.2240783017485
98,1037.6376494740996
99,1042.0538580681166
100,1053.7060945014207
101,1055.8851804161425
102,1058.052092580592
103,1060.3389174176846
104,1062.5977927325102
105,1072.7389363400623
106,1075.2768588350789
107,1077.8239397517336
108,1080.4236230172291
109,1083.0654782619977
110,1085.7120318037266
111,1090.8398851132474
112,1095.14931991406
113,1099.4042342369205
114,1107.0205100120306
115,1109.9118448927895
116,1112.5900516670242
117,1115.3865657249025
118,1118.7539228594055
119,1126.163715098299
120,1130.1449719827879
121,1134.0537891576735
122,1138.0041897990177
123,1142.2663718972217
124,1146.71830444908
125,1150.7139902061401
126,1155.0826254625124
127,1158.9261518804083
128,1162.3006905206184
129,1166.3353861390763
130,1169.5520135589663
131,1172.908809827163
132,1176.543713191736
133,1183.832671098912
134,1187.6401393023418
135,1191.9165184045141
