,0
0,504.91310583006674
1,504.62915881494644
2,514.3349971649757
3,501.8546095124314
4,506.0142521637189
5,510.6658194113177
6,517.3011442700457
7,518.6465354970544
8,527.5613359090169
9,534.1963535241406
10,547.1537028198848
11,551.5387098083518
12,559.4478031729215
13,566.7968710944436
14,574.2105156636732
15,574.320119343399
16,585.7748484982438
17,601.640518900822
18,602.676332527903
19,612.4476657832706
20,613.2570632886631
21,610.4552829624299
22,628.6436031799873
23,628.4306412529692
24,640.3129258216779
25,646.0125579435997
26,652.2436214600862
27,654.3461603939004
28,665.6377214728697
29,671.9630192830397
30,675.8787018750331
31,681.7512371402556
32,688.0732944324049
33,693.7941320393286
34,700.6489609353099
35,706.8933288905453
36,713.2703481910942
37,719.4855991027464
38,725.7034495121128
39,732.6674044486772
40,738.1562038696194
41,744.133315911167
42,750.1883153549327
43,756.2599033426404
44,762.0717235590172
45,767.9607472326188
46,775.1361938794474
47,779.9305148070474
48,783.6178190803647
49,793.4258697857553
50,796.4052193678251
51,802.0169203081696
52,807.6848483865655
53,813.1647363565696
54,818.6724245755338
55,824.4152619364934
56,828.2869350874782
57,830.5218470600088
58,839.6494481161291
59,845.2482004817662
60,853.4843913370962
61,855.9867967559934
62,867.9092176943636
63,867.2892579137999
64,873.4667823320627
65,877.7274663564212
66,883.2123413461859
67,888.4575070946595
68,887.9771747993292
69,898.2085791543177
70,904.1609046386766
71,907.7335945436886
72,913.0183380070446
73,918.4944000862245
74,923.8386478635568
75,929.4259755844629
76,957.0055041769338
77,961.5016524504897
78,971.8909781770533
79,978.8719461220506
80,984.0914512787192
81,989.3417153703606
82,997.2630709375849
83,1005.3994940298177
84,1014.9739461188657
85,1019.1879036924906
86,1023.9349551590708
87,1027.330038786455
88,1039.7312293352884
89,1055.8137483910002
90,1060.2045211975515
91,1064.672342906435
92,1069.7435769010679
93,1075.0628853397257
94,1077.6574362011547
95,1084.089732641875
96,1092.3713184618114
97,1098.5901762565154
98,1101.009523284069
99,1106.428932075548
100,1112.0133733546843
101,1121.3567248247382
102,1124.9666228958636
103,1128.549069124065
104,1130.4435467762091
105,1129.944656338771
106,1132.07063286497
107,1137.5639915996792
108,1138.259281294725
109,1149.0369307610915
110,1159.1278685905863
111,1168.244089807027
112,1170.8765169582462
113,1171.6556554001656
114,1175.4608617199676
115,1178.641014908785
116,1181.508341806215
117,1184.487789918273
118,1187.3102073130742
119,1188.5291127808532
120,1200.8035811422008
121,1205.038479020398
122,1212.5709447798588
123,1219.267737638453
124,1225.5982224927282
125,1240.6429299866475
126,1246.2108331628851
127,1250.1639332698765
128,1243.3876586386043
129,1249.2899170072524
130,1256.5178451955533
131,1259.4623644431254
132,1263.6095644508393
133,1263.2477243729809
134,1267.0358955282147
135,1268.6181369777466
