,$\beta$,$\omega$,$d_P$,$E(0)$
0,1.4196576806938694e-08,0.00680555759057181,0.07546343737415695,1618.681564463797
1,1.620385729978162e-08,0.007622188067266912,0.07653888077935116,914.3631382093541
2,1.3737392660233236e-08,0.006082966121236663,0.06439379242371344,1313.0343336591645
3,1.4221545563963727e-08,0.006532401677606554,0.06390193515314942,1361.2424704418609
4,1.3368946762880611e-08,0.005966137196850811,0.06764737684021672,1526.853205518899
5,1.5072947107304544e-08,0.007288192770737426,0.07776178427666133,1262.1209334634739
6,1.6615830476597908e-08,0.007753141520497661,0.07545567860673172,862.6608023905495
7,1.6422379113671644e-08,0.007759666553247492,0.07481761909906383,1020.8298478573166
8,1.5466368882475938e-08,0.0072317590047792524,0.07089538383312276,1051.7683050504713
9,1.472489734572002e-08,0.0067892201144442565,0.06912203947921086,1241.7873975758232
10,1.3965935413675268e-08,0.006422035334945608,0.075540280745268,1487.4875647055783
11,1.5344648033908482e-08,0.007156165411340083,0.08411304200727791,1079.3819958048396
12,1.5501995065383192e-08,0.007134448891207296,0.06657812013285457,1019.3435089194643
13,1.575440395574217e-08,0.0071464102961899196,0.07350952789014713,905.4641347478173
14,1.537114863618781e-08,0.007230332638091849,0.06233572316563396,1131.4866090285282
15,1.4419663548429047e-08,0.006662028784015007,0.07181387011997736,1360.1800230272918
16,1.486073903398075e-08,0.006750003479947009,0.0684139112066661,1123.8231426496482
17,1.4279689513082144e-08,0.006327434571267371,0.06726567917586707,1211.417495910413
18,1.553644217641328e-08,0.006980676842597087,0.07271346304740911,927.1824614444191
19,1.7764415870078394e-08,0.008283039879219679,0.06990961717896133,687.9759648041054
20,1.5959314576060442e-08,0.007291879190470156,0.06407765317221992,928.5716568566929
21,1.5414706536763725e-08,0.0072333014210901195,0.06549807440449633,1146.522517021641
22,1.6373749211309803e-08,0.0077398768399409065,0.07076251828320056,926.6201738142973
23,1.83707729306737e-08,0.00858498720111585,0.07396214653649634,643.8855662364863
24,1.8394313504175368e-08,0.008773503153044574,0.07264344229719814,680.7786468876855
25,1.4562613159902296e-08,0.006717630305748279,0.0721602452348949,1271.8791520151385
26,1.615237975083499e-08,0.007865048190223153,0.06832638945771038,1138.4029929343924
27,1.4506301036498216e-08,0.006972524578047678,0.07171906826880996,1487.145727728629
28,1.5496643318691542e-08,0.0072174468161864585,0.06475089498928753,1050.362282839237
29,1.3735796369744796e-08,0.006377122216636075,0.06978329655655541,1604.9822527479141
30,1.4016820942619169e-08,0.00655844960153499,0.06548341861756042,1501.8772440400494
31,1.4772117457898134e-08,0.006762286300128337,0.07588630309179419,1191.2712986477843
32,1.4086694240801934e-08,0.006540479922009809,0.06739924701907173,1480.0326309587235
33,1.4700336519274062e-08,0.00688466143411609,0.07125663201045446,1276.3139400257637
34,1.2479021281538054e-08,0.005594832434561198,0.084238820172315,2145.0150384796193
35,1.5419382693642024e-08,0.007254409685005347,0.07106907585607682,1110.6401529260388
36,1.4013254407873285e-08,0.006802808068594535,0.0727351709607427,1708.5208637085423
37,1.716930439375347e-08,0.008145243983184731,0.0728591267954708,769.4579989213257
38,1.3428855500046831e-08,0.006007355060874458,0.06686047642509389,1494.749699816885
39,1.6198325591664122e-08,0.007688053052966143,0.06923994942532868,974.4517835080001
40,1.590459813462573e-08,0.007652313529216788,0.06713994385458033,1119.1354978576646
41,1.4580604801932444e-08,0.006731582646670775,0.06965627694061405,1244.6733851411875
42,1.7649584898176815e-08,0.00857473332163826,0.07253266820562967,879.0022709023821
43,1.4597756834955352e-08,0.006933861483448992,0.07385252399983078,1431.784284901479
44,1.5862402445910647e-08,0.007410205805686952,0.07719108097566263,1053.3731302456058
45,1.560886882671023e-08,0.0073822478990706155,0.07164281403477699,1142.7355680641842
46,1.5095796072952012e-08,0.007031781422834769,0.07009464562884386,1201.7934550562284
47,1.5424420679899498e-08,0.007328808744530589,0.07612789270240194,1208.5115044529332
48,1.5742302193028998e-08,0.007157649220350658,0.06471483648944809,927.3467322585781
49,1.348650543724254e-08,0.006192235454702798,0.07765470690098487,1688.7984423220853
50,1.458945681300778e-08,0.0070099047802568175,0.07387078089818556,1449.8818976959021
51,1.3749649878152785e-08,0.00628709334041935,0.06796401561025533,1576.6847059814245
52,1.4101136276674104e-08,0.006428243454352754,0.07318284873095725,1312.4572833316902
53,1.3479128807278098e-08,0.006247437987770183,0.06943000968980946,1587.2784640555903
54,1.513118108425414e-08,0.007086589992033853,0.07770125235091077,1198.3075384813947
55,1.6292980297250956e-08,0.007639033819317853,0.0699197547357435,862.0700616079056
56,1.4856732353241686e-08,0.006748606218338556,0.07467739353702878,1147.0056603482353
57,1.5207872553620336e-08,0.00704007382075511,0.07763757914058782,1104.8399139729725
58,1.4245787677454652e-08,0.006730503047191869,0.06712645815101398,1547.4742964892655
59,1.5516628774883984e-08,0.00716889246136625,0.06727045252427521,1014.7753735246935
60,1.4938469786563436e-08,0.006989776561461383,0.0682953580532422,1157.3074206983392
61,1.6601578396021324e-08,0.007758796738988184,0.06927871098686815,954.8728632910429
62,1.3683460652547478e-08,0.006182779843427641,0.07513228446779673,1462.5066904403031
63,1.581314386691418e-08,0.0074566390271064795,0.07335421775748653,1034.4621235962104
64,1.5851552865724534e-08,0.007776173512007801,0.07498341146551654,1263.909196739363
65,1.5415081745854943e-08,0.007102922654346543,0.07396739841356063,961.8613613433
66,1.5692531888082933e-08,0.00743832661101566,0.06990210654229445,1082.3777879823645
67,1.538277380231335e-08,0.006960872396935701,0.07184825536711366,959.4435187050206
68,1.7494532988396015e-08,0.007944377021412605,0.06438104902743048,705.9812320749313
69,1.4871913706834584e-08,0.006992005294938845,0.06481718614414508,1296.1679163915344
70,1.2178352575275475e-08,0.0054741154906220125,0.0708586075816373,2167.7409170635633
71,1.674906477721175e-08,0.007689582563645497,0.06381238477844359,751.8322035405986
72,1.5313641424851578e-08,0.007095911017226819,0.06507688963197417,1133.7701961130829
73,1.707352319087801e-08,0.007910707292624598,0.0766744340851421,720.9354405456537
74,1.6815366037320423e-08,0.008073023095851858,0.0698509555887251,900.8141782354129
75,1.49423505438904e-08,0.007126594307588217,0.07166766797886129,1319.954192151363
76,1.5771339741182623e-08,0.007773564980812894,0.07931094248055519,1289.5605131978127
77,1.6316840911002333e-08,0.007955623299524846,0.06649827297636839,1151.9270546651796
78,1.4569020854079912e-08,0.006740481621756706,0.07024247710535685,1278.7077918714174
79,1.4922733103658332e-08,0.006900768758436087,0.07000577329537562,1195.0739728115498
80,1.6923401012367625e-08,0.0077040621069850365,0.08290107525448599,764.075131022779
81,1.6384405691589716e-08,0.0074686371207269234,0.07183198703295632,818.4525081920053
82,1.72678122233791e-08,0.008097129715343395,0.07446153045818313,792.3413014965486
83,1.4390299314864728e-08,0.006581822417899849,0.06887459223214927,1357.798433285467
84,1.610204344304527e-08,0.007758692845719481,0.06859713689072522,1080.2594430356921
85,1.3724146701492755e-08,0.006278175231436928,0.06797041608685801,1578.8511878273096
86,1.389244315112484e-08,0.006331337394525003,0.07468133258530074,1505.447502620251
87,1.2492120272509783e-08,0.0054492301923740405,0.07675702439075628,1922.5898604169056
88,1.2801535491327701e-08,0.005588212432563949,0.06595127510632848,1770.8202568578208
89,1.2408054956349502e-08,0.0054630878441138285,0.06761713692880719,1992.1991694349986
90,1.4573866736860708e-08,0.007015877462912207,0.07500057888826046,1412.9531522043085
91,1.5222389218306828e-08,0.00725936487145453,0.06743202911349777,1221.2616646563922
92,1.584502961917045e-08,0.007446603030826166,0.06839375775116732,1004.9451828952667
93,1.5471143487152917e-08,0.0071703479265319125,0.07906267970785329,1085.8693881859929
94,1.5100546560243584e-08,0.007226313929221903,0.06924647966828004,1273.746828913317
95,1.938941301767207e-08,0.009418735938814546,0.06587609113781612,665.0887727488147
96,1.4319320072974134e-08,0.006411221933081969,0.06328451098079609,1275.8376736314128
97,1.5646490441286316e-08,0.007618123271971361,0.07196686512292776,1228.7313818958862
98,1.6851711025294715e-08,0.008301169246589768,0.07223404784959331,1014.68392488276
99,1.3718106169234483e-08,0.00613400135790226,0.06594085893667027,1440.7604856238752
100,1.787846581470335e-08,0.008258825864425721,0.07031456839891155,656.1358331999287
101,1.552080092391869e-08,0.007569547919753538,0.07215363265780166,1292.2686245569084
102,1.4039700188631775e-08,0.006769940198193319,0.0699276699148774,1699.541570828089
103,1.2954635058934685e-08,0.005937843210097895,0.07750355719176472,1860.9424495447738
104,1.5701528550828916e-08,0.007531868815498205,0.07360658183001201,1183.8056000116212
105,1.709971367336014e-08,0.008468017889317149,0.06926308404048064,1000.0756346755472
106,1.518009192331699e-08,0.00702022424187253,0.07821156500941992,1137.1800834843887
107,1.641214399437538e-08,0.007603168072770842,0.0719103856441174,839.1829396595343
108,1.63025112789302e-08,0.007909018797584025,0.05983238291631017,1107.5843429632557
109,1.5294952297372397e-08,0.007102834306066474,0.07451000634416224,1129.4791722610603
110,1.6240814939337023e-08,0.007667826653404851,0.08319226901659194,965.0053613796259
111,1.5190878438948786e-08,0.007048454090077613,0.06472971052741443,1093.4888044455543
112,1.650225192782325e-08,0.008249534311268574,0.0776915856624274,1131.3029217953513
113,1.5536326074237146e-08,0.007565909165499042,0.06902913876952463,1245.8308567002582
114,1.580199109519821e-08,0.007539248843514447,0.0690971640559115,1029.320053908302
115,1.5036239808512817e-08,0.007228848255976142,0.07401937539525942,1294.6709950587715
116,1.6160030416684236e-08,0.007481125168757751,0.06708257458889792,912.4463430252213
117,1.4379664706532789e-08,0.006794245278604225,0.0706603263115175,1433.2499112609923
118,1.7673753768779525e-08,0.008304123163811494,0.06859835259209486,688.4435387685642
119,1.5231845448180198e-08,0.0073693472852055224,0.0802379384251067,1328.2440554008754
120,1.6543631846601676e-08,0.008060515521476647,0.08105313998871339,1039.4924302668323
121,1.2475241624879365e-08,0.005234098376213324,0.07068853061431435,1656.4328286873704
122,1.548187650391747e-08,0.007069657880302887,0.07244384951726693,905.2674702723956
123,1.4504583911293146e-08,0.006804474019633742,0.07159297444904444,1337.8810535003122
124,1.564682408171736e-08,0.007415604240163097,0.07279242193702093,1115.6310768475043
125,1.3273984673030713e-08,0.00588627603177751,0.07126502801074326,1682.974186822046
126,1.4595712516685103e-08,0.006879043143151063,0.07351041769609454,1462.1640220839988
127,1.4214018594092296e-08,0.006557979043912268,0.07521646874234279,1412.0325995384492
128,1.53947568566005e-08,0.006962074021331203,0.07303137943316847,983.9537005213591
129,1.6809531714959268e-08,0.00839178625112045,0.07167051650948815,1008.5242773140378
130,1.538024788438837e-08,0.007443005615920688,0.06802727953257008,1312.4470096689265
131,1.3874705246212606e-08,0.006387928738370629,0.07233732346263733,1519.5784475556618
132,1.6099362483201833e-08,0.00749168883190255,0.07362905356837947,894.8815635888739
133,1.5846716162649237e-08,0.007390824260002457,0.07551778243886473,1021.3554783932806
134,1.3442928378765386e-08,0.005786402130411561,0.06739636023923326,1306.3747892842098
135,1.4654511714697699e-08,0.006774688196611364,0.07341564462482486,1252.2145688116611
136,1.5759331077582562e-08,0.007374869609823845,0.0666709209929,1058.6369958908883
137,1.7100743962339092e-08,0.008452081421436745,0.06923841179187376,981.6754262552711
138,1.6351450730586874e-08,0.007533066261565252,0.06525748744339424,834.63349589889
139,1.5028566186450437e-08,0.007136009448831364,0.06124510685744503,1247.9073897181008
140,1.6439499242868572e-08,0.0074934954705575966,0.08357024127932515,788.6541790606731
141,1.5119101035911425e-08,0.006906154007323702,0.06151395245064524,1090.6957230509565
142,1.6166187835190666e-08,0.0074830507598075,0.07177489681074505,869.2241467253845
143,1.4597869494974111e-08,0.006584500151229502,0.07350344771010812,1201.8509731143638
144,1.592492464710852e-08,0.00732369567551735,0.06490281210722806,913.5480309488363
145,1.6455823539657785e-08,0.00788912644715033,0.07186059305890086,1040.0006114577839
146,1.403631052081997e-08,0.006585124404788966,0.07064499111430929,1503.5695764318214
147,1.4622288571978146e-08,0.006564872690323419,0.05755687472847854,1067.4677011484057
148,1.740256415733844e-08,0.008303336958901432,0.07390570715127547,807.795088518859
149,1.5374050877503643e-08,0.007247306364753599,0.07646608512236838,1075.082194689254
150,1.6288912138083016e-08,0.007685113284664124,0.07654519922741383,926.0442527794143
151,1.2966655632767055e-08,0.005858933973276485,0.06862546302084917,1787.2930322911084
152,1.5623212868039836e-08,0.007292858944069114,0.07468011576813308,1044.6734287934728
153,1.6064103597191114e-08,0.007551907688654153,0.06569988454855567,1038.6815248059506
154,1.5907502150685563e-08,0.007361796487465193,0.06600894056210703,973.7451090790954
155,1.7006168130296412e-08,0.0077790225533762615,0.07257181266496836,756.093860888216
156,1.597005934584497e-08,0.007631575024626229,0.08006510587701704,1015.7351989973441
157,1.4798471174675641e-08,0.007314736670422806,0.07549089312354516,1460.6685918795706
158,1.5363641212224445e-08,0.006920548866850246,0.07582869886774792,930.7771849400341
159,1.4767555815095802e-08,0.006727400482677669,0.0696704897189014,1189.7686371646023
160,1.674092925268617e-08,0.0079924984362325,0.07259743760767591,906.2181102216595
161,1.624128377594182e-08,0.007577654112707437,0.07116965221996766,904.7889025025188
162,1.432402581780806e-08,0.006419491211953239,0.07057592141557271,1220.6308524667816
163,1.497822644225436e-08,0.006603845995877889,0.07583700123130187,999.4898046755544
164,1.4544964982243229e-08,0.006803839239857319,0.06540113119995193,1381.7764502075327
165,1.676361874313411e-08,0.007809394064685062,0.0772569479920706,820.3140872002506
166,1.4133941077826304e-08,0.006516010282582524,0.07023552154296182,1512.930949583329
167,1.5007523209603866e-08,0.006927409157089717,0.07455293162285073,1143.173683346014
168,1.659004313436382e-08,0.008046053347378018,0.07623683733658461,963.577315263908
169,1.571991093611727e-08,0.0072234007209793834,0.07440242451984197,958.8608683481576
170,1.6754315921170026e-08,0.00813109029608659,0.0722455697434505,962.7891154152326
171,1.4488891993917357e-08,0.006861670258909172,0.0712519922754381,1444.9215174814085
172,1.7690299928734236e-08,0.008616297570045311,0.06718853200959014,874.8378896057467
173,1.6120837704099463e-08,0.007338342222573388,0.07489486842308375,831.7168450455665
174,1.5010963256618335e-08,0.006925842130432144,0.0776065758051774,1228.3304435662687
175,1.3902010459923378e-08,0.006309803089937464,0.0638461941851035,1462.651031107164
176,1.2753981235219777e-08,0.005679931884659513,0.0710400687163521,1762.1391643813033
177,1.54313674982942e-08,0.007312422072046212,0.06932016297253565,1143.379057096808
178,1.649779016426213e-08,0.008107043377836059,0.07802600221979493,1053.9693234729507
179,1.3002757652258481e-08,0.006033853816838132,0.07251401400293882,1856.3284829010456
180,1.6600574162603592e-08,0.008083825350793288,0.07395472549018434,1059.2930519206259
181,1.6372202316492657e-08,0.007258059275204399,0.07555683862922336,673.8554145695738
182,1.507065976528547e-08,0.0069621601679204295,0.0750552801401214,1108.6004492450654
183,1.4462775201703975e-08,0.0066363284409520695,0.06612295217811225,1318.777291121081
184,1.614739116435023e-08,0.007652607860535565,0.08274456542602794,964.7779243848547
185,1.3869432820741553e-08,0.006554276186436761,0.06793160977699589,1551.5553740192556
186,1.3606631601930935e-08,0.006601515281566867,0.06686232549972956,1887.1236108296741
187,1.5774446709497914e-08,0.007190633760616149,0.07330915915887201,945.5323743017135
188,1.4693166244605147e-08,0.006826978456542842,0.07036426048547167,1254.850639116765
189,1.7659729318168988e-08,0.008302475909924053,0.08053519381974099,775.4826012959718
190,1.6318693542503013e-08,0.007321539659973745,0.0778183872060351,799.2647432128158
191,1.500984172586278e-08,0.0070279274648019285,0.07264456623665083,1126.6867724310534
192,1.7817046439161213e-08,0.008382164526352794,0.08215831480708324,718.2201467239552
193,1.574070787876764e-08,0.007270775926847329,0.07646263931686272,991.9848577074322
194,1.6846600519725996e-08,0.008384867113742955,0.07076698649363183,1055.5165759212482
195,1.4613666418750655e-08,0.006806380454190633,0.06650356522362,1382.3710537463267
196,1.646974442645097e-08,0.008196672873754066,0.06616644690201592,1114.415972504855
