,0
0,0.08831023066959903
1,0.1068442988668905
2,0.1076053845996304
3,0.10292732153493726
4,0.11137147101793578
5,0.108276131959963
6,0.11641118856325096
7,0.12290953623289544
8,0.13538018798955856
9,0.13606968331529967
10,0.11170969580423581
11,0.1201403405057783
12,0.12362517688723022
13,0.1155426339630617
14,0.114845784078454
15,0.11855445686335306
16,0.10645869839014123
17,0.1038214178045597
18,0.11096901909214153
19,0.11204129913743757
20,0.11341153756275268
21,0.1160038179320261
22,0.09766317293407667
23,0.09656273954524144
24,0.09593304520459733
25,0.09642566740020879
26,0.09883230685519191
27,0.10641663803046635
28,0.10347564211884146
29,0.10193141209811597
30,0.09520929152045499
31,0.09050072479095962
32,0.08684952517701484
33,0.08686858231615284
34,0.08795852824532491
35,0.08914607185795625
36,0.08797195996224469
37,0.04046656634690539
38,0.0977513027830215
39,0.1013777368048498
40,0.098371213663725
41,0.10424922698178836
42,0.09066530733970195
43,0.09075469452684526
44,0.0947308909247175
45,0.09408136497308472
46,0.09112696613410473
47,0.09083593322567737
48,0.0868144872348152
49,0.08534264384520086
50,0.09038992429730205
51,0.08587434183478744
52,0.09020464006373309
53,0.09755780500945031
54,0.09278394923901345
55,0.09114070321104269
56,0.09151327325498126
57,0.09063042710656051
58,0.09051939512419935
59,0.09203148901486088
60,0.0905113890828701
61,0.08819982609378937
62,0.08690219686019589
63,0.08771202479971053
64,0.09037270025700349
65,0.09337841712863011
66,0.09076960084880636
67,0.09050062548707773
68,0.0889996416422798
69,0.0916812825472101
70,0.09109092273586152
71,0.0926337820114008
72,0.08909834029680624
73,0.08838360598990473
74,0.07929177859160369
75,0.0736484777148443
76,0.07557384538756007
77,0.06554535120119953
78,0.06324904951935277
79,0.06349843090926961
80,0.062050765763348774
81,0.06028513555640505
82,0.05957495900603333
83,0.05817909875515957
84,0.04450909063612678
85,0.04846632549564839
86,0.08000113450631802
87,0.08111416229757792
88,0.08098053218604495
89,0.07587871575334593
90,0.07309020005163933
91,0.07743233504505449
92,0.07565683173566971
93,0.07556681469618241
94,0.07556882285035922
95,0.07327768223260149
96,0.07241539268684839
97,0.07380997571450312
98,0.07330658593773616
99,0.07352320305019813
100,0.07159898807458137
101,0.07224988259215298
102,0.07129309672574036
103,0.0709378126695153
104,0.0681374368431042
105,0.06640913738012913
106,0.06586381239211696
107,0.06764673489490329
108,0.06726539775916406
109,0.06837345152222565
110,0.0678531266118847
111,0.06766704580481678
112,0.06810755991677735
113,0.06607975656845623
114,0.06764971457782457
115,0.06710004442718695
116,0.06673493344155378
117,0.06693465199016257
118,0.06628923003551161
119,0.06492545039932528
120,0.06624401595524301
121,0.06666337669868475
122,0.06684525577859408
123,0.06694575736328387
124,0.06533757085572667
125,0.06583630484534776
126,0.06543371126817228
127,0.06629712242042
128,0.06488042743977185
129,0.06608276495866354
130,0.0661101892800242
131,0.0660378045641959
132,0.06650082579401158
133,0.06564228044241639
134,0.06479725593781072
135,0.06475789431314645
