,mean,sd,hdi_2.5%,hdi_97.5%
$\beta$,1.2419182191491336e-08,1.11471235289881e-10,1.220634276312302e-08,1.2639532014216438e-08
$\omega$,0.0048596326111378305,6.655411786330157e-05,0.004738305151696565,0.0049968308668580045
$d_P$,0.06250085168295791,0.0011282976640824465,0.060309327222885026,0.06475091842966472
$E(0)$,1236.574063533776,35.25347291531964,1168.6603688656544,1305.0816661217455
