,$\beta$,$\omega$,$d_P$,$E(0)$
0,1.2355491351522384e-08,0.004826418766111977,0.0608704867409815,1251.9983029574116
1,1.2350051357714495e-08,0.004814194356610802,0.06295988026390971,1254.428716392109
2,1.2632439141584807e-08,0.004975493108564662,0.06394896848475787,1185.0185045147584
3,1.2392983529604794e-08,0.004823152158258759,0.0618370864344531,1220.0381129300433
4,1.2502355376143942e-08,0.00490335059563511,0.06321557293004969,1207.9778297907794
5,1.248181348949563e-08,0.004897859773503081,0.06014591431006776,1192.36863512627
6,1.2437070016732358e-08,0.004861811915170618,0.0625599985286036,1226.6881436025137
7,1.2423341433588476e-08,0.004865116280939149,0.06311691455338019,1247.301491616237
8,1.2534104044810697e-08,0.004948631394986741,0.0621376165352994,1212.8552154349152
9,1.2387077439843763e-08,0.004858519796120904,0.06318787858799772,1266.6311150635668
10,1.2599592160434647e-08,0.004970443397878813,0.0648062054674317,1212.9395046585787
11,1.2418471274575701e-08,0.0048639650075970094,0.06226370032129281,1231.5191667355477
12,1.2479165221171837e-08,0.0049163442163350874,0.06194761095274832,1230.8453091111558
13,1.2293802415685956e-08,0.004777260714818229,0.06203797752596264,1262.6425345093717
14,1.2449432575946478e-08,0.004873867832611119,0.061305236430721305,1213.5459331703767
15,1.2596811621461537e-08,0.004945252230178078,0.06241880171760603,1172.556321638966
16,1.2442044798567848e-08,0.004878530164581775,0.061462658564409,1224.3102777221595
17,1.2359984246471847e-08,0.004820037638706193,0.061821071958597006,1246.3718383651396
18,1.2280733934133168e-08,0.004800632171231378,0.062435108213664346,1293.9221684259328
19,1.2401133948358867e-08,0.004811889978933216,0.06336639908755357,1224.9938461090665
20,1.2286158658794439e-08,0.004774810399157847,0.06156667600668498,1272.601224811978
21,1.225812016820278e-08,0.004763321911452286,0.062795302785451,1287.2051793560681
22,1.2618425622566366e-08,0.0049717611086958595,0.062395832198737046,1178.7532759302453
23,1.2095356502709554e-08,0.0047004501503827125,0.06141787511161062,1355.7777863473098
24,1.2540925317922508e-08,0.004919518085838764,0.06361790591615488,1201.5502852145719
25,1.225406600364878e-08,0.0047737285144478754,0.06216480197497457,1288.8721504694195
26,1.2293415090318143e-08,0.004782472464722431,0.06399510218857149,1286.4585307988282
27,1.2432788306703872e-08,0.004859313524689364,0.06177545920214382,1223.195060330254
28,1.2432906004584023e-08,0.004873073579478478,0.06341945206343097,1248.0728151238338
29,1.2384082499605015e-08,0.004847470142055521,0.06321115214259447,1257.9314605810598
30,1.226282014925009e-08,0.004778779459996364,0.0598978020158531,1265.1193826610925
31,1.2363829457543765e-08,0.004822465265961835,0.0631912285103663,1258.3057043508352
32,1.2352081298026236e-08,0.004820282587871082,0.06316794643079603,1260.05279905718
33,1.250743001192485e-08,0.004899643878174398,0.06057500854946566,1179.8153071105414
34,1.2449094823429712e-08,0.00487793501234211,0.06425644062350784,1242.0831693330094
35,1.2506401969254198e-08,0.004905192647424934,0.06207436801607052,1192.798959443597
36,1.2440131717742177e-08,0.0048597135441479635,0.06282812916226743,1222.0832238047178
37,1.2547391537556934e-08,0.00494987411260237,0.06383244613710848,1231.290171180462
38,1.2444504025254935e-08,0.004900333249422456,0.060302581280242865,1222.8828907231273
39,1.2556365098264447e-08,0.004914826720027263,0.06358610064290081,1190.689248925913
40,1.2466963018333643e-08,0.00489319392659271,0.06323555898724582,1230.2947676814388
41,1.2342782357594573e-08,0.004853521361935701,0.06379700647932099,1292.7839301649633
42,1.2473065481436371e-08,0.004896848049229057,0.06252350157248092,1224.580559203004
43,1.2313814283344822e-08,0.004771139369759617,0.0627210339502324,1243.257260965062
44,1.2646664273502165e-08,0.004996039982632731,0.06489618885292496,1203.3703390046537
45,1.2521537966477241e-08,0.004913410068791606,0.0631978664775696,1200.8973701439747
46,1.2441301831644634e-08,0.004865382389080771,0.06397477344176995,1237.6366706527313
47,1.249160540801492e-08,0.004902713841112094,0.06337454487456,1225.104364101511
48,1.2479990263809035e-08,0.004902658818408301,0.06122706658702608,1207.0642071859006
49,1.2477372847286994e-08,0.004915500136847898,0.06233471315140152,1232.6275840867
50,1.2306910873411995e-08,0.0047993904535421055,0.06378392614018054,1289.1985602691968
51,1.2368673747349856e-08,0.004827976249285305,0.06316191369420385,1254.1884034772036
52,1.2399313082673602e-08,0.004825671879248167,0.061872954289041396,1214.4392507684674
53,1.2414045038197602e-08,0.00484003082618526,0.06236681885744229,1225.1652361516412
54,1.2545090817226448e-08,0.004910708339634165,0.06256610608059394,1177.8763950632015
55,1.2730637053164706e-08,0.005047888569964798,0.06349203884250018,1157.0650855710048
56,1.244123119578856e-08,0.004843123692581417,0.06219502710736881,1202.3351939349304
57,1.220821618069326e-08,0.004717545415643232,0.06276576651354553,1280.9174174594436
58,1.240228927387584e-08,0.004860950256251739,0.06254554261650422,1250.0293988625363
59,1.2354854553968261e-08,0.004834489863882953,0.06275590594773844,1267.5992202474836
60,1.2286340395481881e-08,0.004783965446643006,0.0633441592306116,1284.0198328102772
61,1.2314528034500072e-08,0.004816657672114651,0.06328056418949234,1287.4927980751534
62,1.2342715251940851e-08,0.004807054747148811,0.0644723282978974,1272.6161634671907
63,1.2471587466646273e-08,0.004894533666843338,0.060343277849300034,1203.4485498222311
64,1.2495375965299495e-08,0.004893897799491692,0.06353320436987839,1213.405761132174
