,mean,sd,hdi_2.5%,hdi_97.5%
$\beta$,1.5248141535968446e-08,1.326156217820905e-09,1.2795308703155678e-08,1.7990818050462905e-08
$\omega$,0.007121905393803919,0.0007288661047471238,0.0057045710222658865,0.008576656495740038
$d_P$,0.07126402502622263,0.005005557242750706,0.06215761679927411,0.08161130253748214
$E(0)$,1190.8021079198236,296.4517485067322,655.0367849176525,1818.3565247279284
